PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Enrique HernÃ¡ndez,130,464,523,111,28,1,14,62,55,44,98,3,0.24,0.188,361.78,10472
Kyle Higashioka,59,209,227,47,9,0,10,26,29,13,53,1,0.228,0.232,559.07,5517
Brandon Drury,118,451,494,111,23,2,19,57,61,31,108,3,0.246,0.219,204,11615
Tyler Stephenson,127,484,541,124,26,1,15,59,64,45,121,2,0.257,0.224,127.32,17988
Logan O'Hoppe,69,235,268,56,10,1,9,31,31,26,52,2,0.238,0.193,256.67,24729
Joey Wendle,112,423,458,110,26,2,7,46,45,22,81,12,0.261,0.177,343.5,13853
Wilmer Flores,99,377,423,94,19,1,13,49,50,37,70,1,0.25,0.164,344.12,5827
Triston Casas,123,431,504,104,24,2,18,59,59,63,115,3,0.242,0.227,221.22,22514
Adam Frazier,112,412,457,109,21,3,5,48,41,33,55,9,0.264,0.121,466.87,15223
Luis Rengifo,92,360,391,92,17,2,12,45,46,22,67,6,0.256,0.172,311.01,19858
Jace Peterson,102,361,413,83,18,2,8,40,37,43,100,12,0.231,0.243,481.29,12325
Luis GarcÃ­a,118,453,486,120,24,3,13,50,54,24,92,5,0.265,0.19,304.97,20391
Shea Langeliers,113,410,453,93,20,1,16,45,51,33,120,2,0.226,0.266,266.04,25816
Seth Brown,120,466,518,110,24,2,21,59,66,43,138,9,0.236,0.266,219.76,18171
Endy Rodriguez,62,228,252,58,14,1,7,28,29,19,52,1,0.253,0.204,999,sa3008272
Orlando Arcia,99,337,376,83,16,1,11,44,43,30,72,4,0.247,0.191,593.95,13185
Ji Hwan Bae,86,310,346,81,17,3,5,39,33,28,64,13,0.26,0.185,552.74,23818
Jacob Stallings,87,301,337,71,14,1,6,33,31,28,73,2,0.236,0.218,592.74,13723
Jonathan Schoop,133,506,546,124,24,1,16,55,60,27,110,4,0.246,0.201,434.25,11265
Leody Taveras,123,452,498,108,22,3,11,52,49,36,121,18,0.238,0.243,397.05,18900
Jorge Soler,126,487,556,115,24,1,24,67,73,57,149,2,0.235,0.268,269.82,14221
Garrett Mitchell,107,379,425,90,18,1,10,43,43,36,126,14,0.236,0.296,256.67,27555
Aaron Hicks,94,321,378,73,12,2,10,42,39,48,88,7,0.228,0.233,560.67,5297
Michael Brantley,97,390,436,110,22,2,9,56,47,36,55,2,0.283,0.126,393.37,4106
Christopher Morel,83,305,341,70,14,2,12,41,38,28,97,10,0.231,0.284,283.75,21897
Garrett Cooper,126,485,547,124,26,2,14,61,64,49,138,1,0.257,0.253,421.79,15279
Josh Jung,125,480,524,112,23,2,19,56,63,32,147,5,0.234,0.28,224.67,26299
Spencer Torkelson,130,471,539,108,23,1,19,59,62,55,127,2,0.23,0.236,298.71,27465
Jurickson Profar,120,470,538,123,28,2,15,71,55,54,80,8,0.262,0.149,397.11,10815
Eduardo Escobar,102,372,409,89,17,2,14,45,50,29,93,1,0.238,0.226,352.79,6153
Chris Taylor,117,419,477,95,22,2,12,52,49,45,145,9,0.227,0.305,285.95,13757
Justin Turner,126,485,548,130,30,1,14,64,65,50,95,3,0.268,0.173,253.39,5235
Ji-Man Choi,118,425,501,102,24,1,15,59,57,66,131,1,0.24,0.262,541.51,5452
Luis Guillorme,68,236,272,62,11,1,3,28,25,29,40,2,0.264,0.148,719.72,16451
Nick Maton,100,343,391,76,17,2,8,38,36,38,100,3,0.222,0.255,571.57,21635
Ryan Jeffers,60,210,237,45,9,1,8,25,26,21,65,1,0.213,0.276,543.75,24618
Akil Baddoo,94,368,418,86,16,4,9,49,35,42,102,19,0.235,0.244,486.45,22168
Jack Suwinski,96,336,384,75,15,1,16,43,47,39,112,5,0.223,0.292,458.13,22244
Jon Berti,76,285,327,68,13,2,5,39,27,33,74,26,0.24,0.225,277.75,12037
Adalberto Mondesi,97,364,393,85,19,2,11,44,44,21,112,27,0.232,0.286,263.12,13769
Whit Merrifield,117,447,487,116,25,1,10,58,49,29,78,20,0.26,0.159,197.58,11281
Joey Meneses,139,567,615,148,29,2,25,71,82,38,140,2,0.261,0.228,202.97,14366
Austin Barnes,47,159,182,36,7,0,5,20,20,18,39,2,0.228,0.214,681.99,12158
Austin Nola,72,251,284,65,13,0,5,32,30,24,45,2,0.26,0.16,408.54,15941
Josh Donaldson,87,319,367,72,15,0,13,42,42,40,94,2,0.227,0.257,413.58,5038
