PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Paul DeJong,58,182,38,8,0,7,22,24,15,58,2,0.211,0.285,728.78,18015
Nick Madrigal,49,177,49,7,1,1,21,15,11,20,4,0.279,0.102,620.63,20521
Edward Olivares,93,329,84,17,2,8,41,37,21,69,9,0.256,0.192,343.25,19698
Kevin Plawecki,43,128,30,6,0,2,14,13,10,26,0,0.236,0.186,750.77,13807
Elias DÃ­az,97,333,84,16,1,11,41,43,25,71,0,0.251,0.195,332.04,11680
Roberto PÃ©rez,47,153,32,5,0,5,18,18,16,53,1,0.212,0.309,747.76,2900
Geraldo Perdomo,65,207,48,8,1,3,26,18,21,48,6,0.232,0.204,723.09,22799
Harold RamÃ­rez,105,386,105,20,1,7,45,46,20,68,5,0.272,0.163,389.66,14387
Adalberto Mondesi,100,358,75,14,3,10,54,31,20,123,36,0.21,0.319,263.12,13769
Luke Maile,48,148,32,6,0,3,16,15,13,45,0,0.217,0.272,750.74,13355
Jarred Kelenic,113,405,88,19,2,13,49,46,34,117,12,0.218,0.262,244.07,22558
Jordan Walker,120,464,115,24,2,10,56,52,31,125,8,0.247,0.248,999,sa3014464
AvisaÃ­l GarcÃ­a,121,455,112,17,2,14,54,57,30,131,8,0.247,0.265,335.2,5760
Francisco MejÃ­a,87,294,69,16,1,6,29,34,14,66,1,0.235,0.21,477.39,16403
Connor Joe,69,246,58,12,1,5,31,27,31,61,2,0.236,0.216,614.09,16572
Josh Lowe,77,276,61,15,1,7,33,30,25,100,9,0.221,0.327,396.53,19953
Jake Meyers,62,210,49,10,1,5,25,22,16,61,4,0.233,0.262,719.25,20308
Aaron Hicks,97,328,71,14,1,8,42,32,44,90,8,0.215,0.238,560.67,5297
Nicky Lopez,105,367,91,15,3,1,42,26,28,56,14,0.248,0.139,532.39,19339
Eric Haase,92,316,70,14,2,14,37,44,23,105,1,0.223,0.303,276.82,14111
Luis Campusano,70,245,59,11,0,6,27,29,16,55,0,0.24,0.205,999,22217
Jonathan Aranda,66,236,57,12,1,6,26,29,19,61,1,0.241,0.234,538.17,21837
Marcell Ozuna,103,384,94,16,1,17,50,54,33,100,2,0.244,0.236,330.99,10324
Mike Brosseau,47,145,34,7,0,5,19,19,13,44,1,0.235,0.269,709.89,19683
Triston Casas,124,435,104,22,2,15,58,56,53,115,3,0.238,0.233,221.22,22514
Mauricio DubÃ³n,78,255,61,11,1,5,29,26,15,45,7,0.24,0.163,644.72,16530
Donovan Solano,63,229,62,13,0,4,26,25,15,46,0,0.269,0.185,712.97,8623
Eric Hosmer,102,377,101,16,1,8,45,43,34,69,4,0.267,0.165,506.13,3516
Jordan Luplow,49,157,35,7,1,8,23,22,18,45,3,0.226,0.256,750.92,16424
Royce Lewis,53,197,48,11,1,5,25,22,13,47,6,0.246,0.218,520.01,20437
Jorge Alfaro,62,213,51,9,1,6,26,24,11,75,3,0.242,0.327,491.2,12180
Sam Haggerty,54,165,37,8,1,3,22,14,15,49,10,0.223,0.265,717.66,18054
Chad Pinder,67,238,57,11,0,8,28,31,14,72,1,0.239,0.279,694.64,15191
Brian Serven,62,207,48,10,1,6,24,25,14,50,1,0.23,0.22,717.78,19422
Juan Yepez,73,266,66,14,1,11,34,38,19,66,1,0.246,0.227,340.09,18400
Tyrone Taylor,104,372,83,17,2,14,45,47,24,101,5,0.225,0.251,539.47,13675
Elehuris Montero,84,309,79,18,1,11,40,42,21,86,1,0.254,0.255,452.87,20543
Endy Rodriguez,52,184,47,12,1,4,21,23,14,41,1,0.255,0.206,999,sa3008272
Charlie Blackmon,112,442,122,23,4,11,60,54,32,86,3,0.276,0.178,310.89,7859
Jarren Duran,44,160,40,8,2,3,22,16,12,47,7,0.248,0.267,588.32,24617
Tyler Freeman,30,104,29,6,0,1,12,11,5,14,2,0.278,0.12,747.34,22532
Emmanuel Rivera,77,268,66,14,1,8,32,34,18,66,2,0.248,0.226,691.22,19890
Edmundo Sosa,73,231,56,10,2,4,27,23,10,57,5,0.243,0.23,589,17022
Tucker Barnhart,88,284,63,11,1,3,27,26,25,76,0,0.223,0.239,648.39,10200
Connor Wong,43,129,30,6,1,3,15,14,8,41,2,0.229,0.297,697.41,19896
Shea Langeliers,119,431,94,20,2,12,44,51,32,132,2,0.219,0.279,266.04,25816
Joey Votto,114,422,98,21,1,16,54,58,52,116,1,0.232,0.24,451.12,4314
Nate Eaton,74,253,59,13,2,4,29,23,18,66,9,0.233,0.239,536.03,25055
Abraham Toro,47,159,38,8,1,5,19,19,13,30,2,0.238,0.173,699.57,19844
