PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Livan Soto,7,24,6,1,0,0,3,2,2,6,0,0.232,0.22,743.53,22471
Cooper Hummel,34,109,23,5,1,3,13,11,13,35,2,0.212,0.285,718.71,19458
DJ Stewart,15,30,6,1,0,1,4,4,4,10,0,0.204,0.284,999,17766
Yolbert Sanchez,16,45,11,2,0,0,5,4,2,8,1,0.256,0.166,999,sa3011471
Charles Leblanc,12,36,8,2,0,1,4,4,3,12,0,0.223,0.314,750.32,19813
Stephen Vogt,9,23,5,1,0,1,2,3,2,6,0,0.214,0.24,999,5000
Alejo Lopez,15,36,9,2,0,0,4,4,2,5,1,0.263,0.136,999,21127
Xavier Edwards,7,20,5,1,0,0,2,2,2,4,1,0.252,0.178,999,sa3007018
Dom Nu̱ez,9,22,4,1,0,1,2,3,2,7,0,0.194,0.296,999,15055
Bryan Lavastida,7,17,4,1,0,0,2,2,1,4,0,0.233,0.23,999,24765
Skye Bolt,10,26,6,1,0,1,3,3,2,8,1,0.218,0.274,749.64,17723
Esteban Quiroz,6,13,3,1,0,0,2,1,2,3,0,0.231,0.229,999,19780
Jason Delay,27,73,15,3,0,1,7,7,4,21,0,0.21,0.264,999,19806
Ernie Clement,13,33,8,2,0,0,4,3,2,5,0,0.244,0.144,999,20352
Rhys Hoskins,3,13,3,1,0,1,2,2,2,4,0,0.235,0.25,183.68,16472
Justyn-Henry Malloy,13,45,11,2,0,1,5,5,4,12,0,0.237,0.25,999,sa3017073
Jose Herrera,24,76,17,3,0,1,8,7,7,19,0,0.221,0.223,999,17040
Kyle Garlick,38,91,20,4,0,3,10,11,6,31,0,0.22,0.312,750.08,18063
Enmanuel Valdez,7,25,6,1,0,1,3,3,2,7,0,0.229,0.243,999,sa917288
Tres Barrera,6,20,4,1,0,0,2,2,2,5,0,0.213,0.229,999,19977
Hoy Park,9,25,6,1,0,1,3,2,3,8,1,0.22,0.27,999,18027
Tyler Wade,8,22,5,1,0,0,3,1,2,6,2,0.219,0.242,750.53,15730
Blake Perkins,11,35,7,2,0,1,4,3,4,11,1,0.211,0.275,999,sa874806
Patrick Mazeika,5,14,3,1,0,0,1,2,1,3,0,0.217,0.172,999,18142
